 avg (temperature), max (temperature), min (temperature), avg (humidity), max (humidity), min (humidity), power, label
26.95,32.1,21.7,59.35,76,44,367.06,1
27.35,32.7,22.6,60.96,76,41,346.66,1
26.22,31.0,22.2,63.52,89,48,346.39,1
24.37,30.3,20.7,70.7,92,49,311.98,1
25.87,31.0,21.0,57.87,70,44,344.88,0
26.81,30.3,22.7,61.96,73,52,366.29,0
23.74,25.5,21.4,87.48,99,76,348.64,0
24.49,26.6,22.5,81.52,93,69,244.62,0
22.55,24.0,21.0,89.3,95,81,358.26,0
23.22,26.4,21.1,94.04,97,90,249.62,0
24.92,27.2,23.6,86.22,96,74,311.2,0
25.35,27.7,22.9,85.39,93,76,322.93,0
22.8,25.2,20.5,83.61,91,73,246.35,0
23.4,27.9,19.8,80.61,94,59,239.25,0
23.78,26.1,22.0,81.83,93,68,254.9,0
24.27,27.6,21.3,77.96,91,60,353.97,0
20.6,23.0,18.1,91.87,100,80,311.93,0
21.23,23.7,18.5,84.48,99,72,264.52,0
23.4,26.7,20.7,70.13,79,59,228.61,0
24.59,29.0,20.6,60.91,85,40,192.72,0
23.2,28.5,18.6,57.43,70,45,123.35,0
23.04,26.9,19.4,60.39,70,53,177.11,0
22.58,26.3,18.5,67.3,93,52,227.97,0
19.46,20.9,17.6,98.17,100,96,217.09,0
22.33,26.7,19.0,81.43,98,60,252.95,0
23.54,29.0,19.2,76.61,94,48,224.93,1
23.66,28.8,19.5,75.52,90,50,196.14,0
24.01,29.3,20.0,73.13,92,50,219.41,1
24.34,29.8,19.4,64.0,81,42,224.92,0
24.72,30.2,20.9,67.48,81,52,166.68,0
24.71,29.4,20.0,63.35,86,43,268.57,0
23.76,28.8,19.7,57.48,73,45,257.55,0
22.86,27.1,18.1,60.57,75,47,236.33,0
23.59,27.9,20.6,61.7,72,47,187.65,0
23.83,29.3,19.0,64.39,80,46,198.21,0
23.86,27.5,21.2,63.74,77,51,249.11,0
23.56,28.0,19.1,63.57,81,50,157.64,0
22.39,26.1,19.5,83.09,98,62,191.64,0
20.29,24.1,16.8,79.7,98,58,266.21,0
20.85,25.6,16.9,67.13,86,52,169.5,0
21.82,26.8,16.8,67.57,88,48,240.17,0
21.09,23.0,18.7,72.74,79,67,237.6,0
22.67,27.2,18.5,63.96,80,51,240.31,0
21.52,24.6,18.7,65.52,73,55,254.19,0
21.49,24.3,19.6,73.7,94,56,277.83,0
20.32,21.2,18.3,93.65,98,87,278.73,0
20.37,25.8,16.1,83.78,99,63,248.51,0
21.34,27.2,17.0,74.91,95,45,243.99,0
20.64,26.2,16.5,76.96,95,53,212.47,0
22.31,28.7,17.1,70.39,95,40,204.47,0
22.62,25.5,19.3,79.7,92,74,206.96,0
23.84,26.4,22.1,82.0,90,66,193.44,0
18.92,21.5,18.0,92.22,99,84,190.09,0
19.56,21.8,18.2,85.3,95,75,173.46,0
18.7,20.0,17.5,91.26,94,87,127.59,0
20.85,24.0,18.6,83.17,91,73,186.33,0
20.22,24.1,15.1,89.35,95,81,202.66,0
15.09,17.5,12.6,79.17,90,68,229.75,0
18.01,21.3,15.8,66.7,78,55,168.05,0
19.57,25.0,14.9,65.87,75,52,169.41,0
19.82,23.8,17.4,73.57,86,54,221.05,0
19.07,21.4,17.0,74.48,85,58,196.05,0
11.39,17.5,4.4,48.17,64,32,210.43,0
5.64,10.6,1.3,37.91,47,27,267.31,0
9.29,15.7,2.9,57.43,91,41,204.73,0
